claim_id,value,unit,status,source_id,source_sha256,analysis,derived_file,claim_scope
source_records,10000,count,observed_source_audit,output/extracted_data.csv,08068a5662968c8ffd1b70c7d61b3a6a4ed0cc42dda02f40ca0d113be3b750d0,src/paper2/build.py:build,results/corpus_audit.json,deposited_corpus_not_reconstruction_outcome
unique_pmids,9935,count,observed_source_audit,output/extracted_data.csv,08068a5662968c8ffd1b70c7d61b3a6a4ed0cc42dda02f40ca0d113be3b750d0,src/paper2/build.py:build,results/corpus_audit.json,deposited_corpus_not_reconstruction_outcome
excess_records,65,count,observed_source_audit,output/extracted_data.csv,08068a5662968c8ffd1b70c7d61b3a6a4ed0cc42dda02f40ca0d113be3b750d0,src/paper2/build.py:build,results/corpus_audit.json,deposited_corpus_not_reconstruction_outcome
duplicated_pmids,64,count,observed_source_audit,output/extracted_data.csv,08068a5662968c8ffd1b70c7d61b3a6a4ed0cc42dda02f40ca0d113be3b750d0,src/paper2/build.py:build,results/corpus_audit.json,deposited_corpus_not_reconstruction_outcome
double_occurrence_pmids,63,count,observed_source_audit,output/extracted_data.csv,08068a5662968c8ffd1b70c7d61b3a6a4ed0cc42dda02f40ca0d113be3b750d0,src/paper2/build.py:build,results/corpus_audit.json,deposited_corpus_not_reconstruction_outcome
triple_occurrence_pmids,1,count,observed_source_audit,output/extracted_data.csv,08068a5662968c8ffd1b70c7d61b3a6a4ed0cc42dda02f40ca0d113be3b750d0,src/paper2/build.py:build,results/corpus_audit.json,deposited_corpus_not_reconstruction_outcome
unique_pmid_field_pairs,9996,count,observed_source_audit,output/extracted_data.csv,08068a5662968c8ffd1b70c7d61b3a6a4ed0cc42dda02f40ca0d113be3b750d0,src/paper2/build.py:build,results/corpus_audit.json,deposited_corpus_not_reconstruction_outcome
within_field_excess_records,4,count,observed_source_audit,output/extracted_data.csv,08068a5662968c8ffd1b70c7d61b3a6a4ed0cc42dda02f40ca0d113be3b750d0,src/paper2/build.py:build,results/corpus_audit.json,deposited_corpus_not_reconstruction_outcome
multi_field_pmids,60,count,observed_source_audit,output/extracted_data.csv,08068a5662968c8ffd1b70c7d61b3a6a4ed0cc42dda02f40ca0d113be3b750d0,src/paper2/build.py:build,results/corpus_audit.json,deposited_corpus_not_reconstruction_outcome
epj_fields,7,count,observed_source_audit,output/extracted_data.csv,08068a5662968c8ffd1b70c7d61b3a6a4ed0cc42dda02f40ca0d113be3b750d0,src/paper2/build.py:build,results/corpus_audit.json,deposited_corpus_not_reconstruction_outcome
missing_doi_records,134,count,observed_source_audit,output/extracted_data.csv,08068a5662968c8ffd1b70c7d61b3a6a4ed0cc42dda02f40ca0d113be3b750d0,src/paper2/build.py:build,results/corpus_audit.json,deposited_corpus_not_reconstruction_outcome
