source_record_id,paper_id,pmid,epj_field,source_commit,source_file
epj-00001,PMID:39639632,39639632,Biomedical_Basic,2414f8d65cf2fe33c744c0a62cc05b6c77868367,reproducibility-crisis-commercial-software/output/extracted_data.csv
epj-00002,PMID:32879160,32879160,Biomedical_Basic,2414f8d65cf2fe33c744c0a62cc05b6c77868367,reproducibility-crisis-commercial-software/output/extracted_data.csv
epj-00003,PMID:33276531,33276531,Biomedical_Basic,2414f8d65cf2fe33c744c0a62cc05b6c77868367,reproducibility-crisis-commercial-software/output/extracted_data.csv
epj-00004,PMID:39196797,39196797,Biomedical_Basic,2414f8d65cf2fe33c744c0a62cc05b6c77868367,reproducibility-crisis-commercial-software/output/extracted_data.csv
epj-00005,PMID:34337069,34337069,Biomedical_Basic,2414f8d65cf2fe33c744c0a62cc05b6c77868367,reproducibility-crisis-commercial-software/output/extracted_data.csv
epj-00006,PMID:34494716,34494716,Biomedical_Basic,2414f8d65cf2fe33c744c0a62cc05b6c77868367,reproducibility-crisis-commercial-software/output/extracted_data.csv
epj-00007,PMID:34601598,34601598,Biomedical_Basic,2414f8d65cf2fe33c744c0a62cc05b6c77868367,reproducibility-crisis-commercial-software/output/extracted_data.csv
epj-00008,PMID:32744423,32744423,Biomedical_Basic,2414f8d65cf2fe33c744c0a62cc05b6c77868367,reproducibility-crisis-commercial-software/output/extracted_data.csv
epj-00009,PMID:39217704,39217704,Biomedical_Basic,2414f8d65cf2fe33c744c0a62cc05b6c77868367,reproducibility-crisis-commercial-software/output/extracted_data.csv
epj-00010,PMID:32916923,32916923,Biomedical_Basic,2414f8d65cf2fe33c744c0a62cc05b6c77868367,reproducibility-crisis-commercial-software/output/extracted_data.csv
epj-00011,PMID:39480105,39480105,Biomedical_Basic,2414f8d65cf2fe33c744c0a62cc05b6c77868367,reproducibility-crisis-commercial-software/output/extracted_data.csv
epj-00012,PMID:39199287,39199287,Biomedical_Basic,2414f8d65cf2fe33c744c0a62cc05b6c77868367,reproducibility-crisis-commercial-software/output/extracted_data.csv
epj-00013,PMID:40914087,40914087,Biomedical_Basic,2414f8d65cf2fe33c744c0a62cc05b6c77868367,reproducibility-crisis-commercial-software/output/extracted_data.csv
epj-00014,PMID:37590228,37590228,Biomedical_Basic,2414f8d65cf2fe33c744c0a62cc05b6c77868367,reproducibility-crisis-commercial-software/output/extracted_data.csv
