source_id,version,url,retrieved_at_utc,request_conditions,path,bytes,sha256,rights,completeness
output/extracted_data.csv,2414f8d65cf2fe33c744c0a62cc05b6c77868367,https://github.com/bougtoir/reproducibility-crisis-commercial-software/blob/2414f8d65cf2fe33c744c0a62cc05b6c77868367/reproducibility-crisis-commercial-software/output/extracted_data.csv,2026-09-22T11:44:20.505608+00:00,git show pinned commit; full blob; no resampling,data/raw/epj/output/extracted_data.csv,25416374,08068a5662968c8ffd1b70c7d61b3a6a4ed0cc42dda02f40ca0d113be3b750d0,Existing author deposit; no new third-party redistribution licence inferred,complete_deposited_file; original_API_responses_not_deposited
output/sampled_pmids.csv,2414f8d65cf2fe33c744c0a62cc05b6c77868367,https://github.com/bougtoir/reproducibility-crisis-commercial-software/blob/2414f8d65cf2fe33c744c0a62cc05b6c77868367/reproducibility-crisis-commercial-software/output/sampled_pmids.csv,2026-09-22T11:44:20.509722+00:00,git show pinned commit; full blob; no resampling,data/raw/epj/output/sampled_pmids.csv,282868,b920521604ad567207e6ecd9319876f7a8cb3f8f5fecd8a77b3a07116c8275f2,Existing author deposit; no new third-party redistribution licence inferred,complete_deposited_file; original_API_responses_not_deposited
output/summary_stats.json,2414f8d65cf2fe33c744c0a62cc05b6c77868367,https://github.com/bougtoir/reproducibility-crisis-commercial-software/blob/2414f8d65cf2fe33c744c0a62cc05b6c77868367/reproducibility-crisis-commercial-software/output/summary_stats.json,2026-09-22T11:44:20.511357+00:00,git show pinned commit; full blob; no resampling,data/raw/epj/output/summary_stats.json,2673,53717bd581f8913ae2192dc3717e48eeb2732e12b3712d4ce94e73b98b751c1b,Existing author deposit; no new third-party redistribution licence inferred,complete_deposited_file; original_API_responses_not_deposited
output/sampling_stats.csv,2414f8d65cf2fe33c744c0a62cc05b6c77868367,https://github.com/bougtoir/reproducibility-crisis-commercial-software/blob/2414f8d65cf2fe33c744c0a62cc05b6c77868367/reproducibility-crisis-commercial-software/output/sampling_stats.csv,2026-09-22T11:44:20.512597+00:00,git show pinned commit; full blob; no resampling,data/raw/epj/output/sampling_stats.csv,290,1d0a4d043144ae1e43bb2f209c9d0e993a9a18937fb39474a326bde56875f341,Existing author deposit; no new third-party redistribution licence inferred,complete_deposited_file; original_API_responses_not_deposited
output/sampling.log,2414f8d65cf2fe33c744c0a62cc05b6c77868367,https://github.com/bougtoir/reproducibility-crisis-commercial-software/blob/2414f8d65cf2fe33c744c0a62cc05b6c77868367/reproducibility-crisis-commercial-software/output/sampling.log,2026-09-22T11:44:20.513957+00:00,git show pinned commit; full blob; no resampling,data/raw/epj/output/sampling.log,23525,75065f8f027ebc85d7e484bcffa3b3e9fbaf1e22adc0b2115970d88244ff4436,Existing author deposit; no new third-party redistribution licence inferred,complete_deposited_file; original_API_responses_not_deposited
pubmed_sampler.py,2414f8d65cf2fe33c744c0a62cc05b6c77868367,https://github.com/bougtoir/reproducibility-crisis-commercial-software/blob/2414f8d65cf2fe33c744c0a62cc05b6c77868367/reproducibility-crisis-commercial-software/pubmed_sampler.py,2026-09-22T11:44:20.515597+00:00,git show pinned commit; full blob; no resampling,data/raw/epj/pubmed_sampler.py,41296,c12cfca8a988948d5b1b83a5c9fd28d03de3cd78eed77b67e64e05a82e38ed27,Existing author deposit; no new third-party redistribution licence inferred,complete_deposited_file; original_API_responses_not_deposited
run_extraction.py,2414f8d65cf2fe33c744c0a62cc05b6c77868367,https://github.com/bougtoir/reproducibility-crisis-commercial-software/blob/2414f8d65cf2fe33c744c0a62cc05b6c77868367/reproducibility-crisis-commercial-software/run_extraction.py,2026-09-22T11:44:20.518401+00:00,git show pinned commit; full blob; no resampling,data/raw/epj/run_extraction.py,1610,289ac5795a1e012b63547872ac8be720db48871aa63454d0d66e018273f30c64,Existing author deposit; no new third-party redistribution licence inferred,complete_deposited_file; original_API_responses_not_deposited
README.md,2414f8d65cf2fe33c744c0a62cc05b6c77868367,https://github.com/bougtoir/reproducibility-crisis-commercial-software/blob/2414f8d65cf2fe33c744c0a62cc05b6c77868367/reproducibility-crisis-commercial-software/README.md,2026-09-22T11:44:20.519773+00:00,git show pinned commit; full blob; no resampling,data/raw/epj/README.md,5199,5ec025f5987ebd03fe83c9f6778f4e8ec3837af7c9610cb70a1743c74e68e5a4,Existing author deposit; no new third-party redistribution licence inferred,complete_deposited_file; original_API_responses_not_deposited
